java|2020-02-05 13:12:58, 271|test|D:\git\multi-dependency\src\main\java\cn\edu\fudan\se\multidependency\stub\StubMain.java|cn.edu.fudan.se.multidependency.stub.StubMain.main-(String[])-0-0
java|2020-02-05 13:17:00,637|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getName-()-88-5
java|2020-02-05 13:17:00,638|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\DecoratedEntity.java|depends.entity.DecoratedEntity.DecoratedEntity-(GenericName, Entity, Integer)-89-4
java|2020-02-05 13:17:00,638|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\ContainerEntity.java|depends.entity.ContainerEntity.ContainerEntity-(GenericName, Entity, Integer)-90-4
java|2020-02-05 13:17:00,639|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\TypeEntity.java|depends.entity.TypeEntity.TypeEntity-(GenericName, Entity, Integer)-91-4
java|2020-02-05 13:17:00,639|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\FileEntity.java|depends.entity.FileEntity.FileEntity-(String, int, boolean)-92-4
java|2020-02-05 13:17:00,639|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.setQualifiedName-(String)-93-5
java|2020-02-05 13:17:00,640|depends|D:\multiple-dependency-project\depends\src\main\java\depends\extractor\HandlerContext.java|depends.extractor.HandlerContext.pushToStack-(Entity)-94-4
java|2020-02-05 13:17:00,640|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\repo\InMemoryEntityRepo.java|depends.entity.repo.InMemoryEntityRepo.add-(Entity)-95-4
java|2020-02-05 13:17:00,641|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getId-()-96-5
java|2020-02-05 13:17:00,641|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\Entity.java|depends.entity.Entity.getRawName-()-97-5
java|2020-02-05 13:17:00,641|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.uniqName-()-98-5
java|2020-02-05 13:17:00,642|depends|D:\multiple-dependency-project\depends\src\main\java\depends\entity\GenericName.java|depends.entity.GenericName.getArguments-()-99-6
