$0;1578228379251666200;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228380322479800;public depends.relations.Inferer.<init>(depends.entity.repo.EntityRepo, depends.relations.ImportLookupStrategy, depends.entity.repo.BuiltInType, boolean);<no-session-id>;4716394709763751940;1578228380322126800;1578228380322478200;DESKTOP-4RF3KHM;47;2
$1;1578228380387493700;public static void depends.util.TemporaryFile.reset();<no-session-id>;4716394709763751940;1578228380387461700;1578228380387486800;DESKTOP-4RF3KHM;50;2
$1;1578228380387522000;public void depends.extractor.java.JavaParserTest.init();<no-session-id>;4716394709763751940;1578228379282564600;1578228380387519500;DESKTOP-4RF3KHM;1;1
$1;1578228380387531000;public void depends.extractor.java.JavaFileImportTest.setUp();<no-session-id>;4716394709763751940;1578228379282442300;1578228380387529100;DESKTOP-4RF3KHM;0;0
$1;1578228380429996700;public depends.extractor.java.JavaFileParser.<init>(java.lang.String, depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;4716394709763751941;1578228380429976000;1578228380429992300;DESKTOP-4RF3KHM;2;2
$1;1578228380430031100;public depends.extractor.java.JavaFileParser depends.extractor.java.JavaParserTest.createParser(java.lang.String);<no-session-id>;4716394709763751941;1578228380387794700;1578228380430029400;DESKTOP-4RF3KHM;1;1
$1;1578228381135165800;public depends.extractor.HandlerContext.<init>(depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;4716394709763751941;1578228381135123100;1578228381135160600;DESKTOP-4RF3KHM;5;3
$1;1578228381135303400;public depends.extractor.java.JavaHandlerContext.<init>(depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;4716394709763751941;1578228381135287800;1578228381135300000;DESKTOP-4RF3KHM;6;3
$1;1578228381196307500;public depends.extractor.java.context.AnnotationProcessor.<init>();<no-session-id>;4716394709763751941;1578228381196280400;1578228381196301100;DESKTOP-4RF3KHM;7;3
$1;1578228381232124200;public depends.extractor.java.context.ExpressionUsage.<init>(depends.extractor.HandlerContext, depends.entity.repo.IdGenerator);<no-session-id>;4716394709763751941;1578228381232103500;1578228381232118300;DESKTOP-4RF3KHM;8;3
$1;1578228381233391900;public java.lang.Integer depends.entity.repo.SimpleIdGenerator.generateId();<no-session-id>;4716394709763751941;1578228381233370600;1578228381233386700;DESKTOP-4RF3KHM;10;4
$1;1578228381233552300;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751941;1578228381233548200;1578228381233549900;DESKTOP-4RF3KHM;12;5
$1;1578228381233639900;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;4716394709763751941;1578228381233540300;1578228381233637700;DESKTOP-4RF3KHM;11;4
$1;1578228381234475600;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;4716394709763751941;1578228381234466900;1578228381234470300;DESKTOP-4RF3KHM;15;6
