$0;1578228633738689700;1.13;KIEKER-SINGLETON;DESKTOP-4RF3KHM;1;false;0;NANOSECONDS;0
$1;1578228634455129000;public void depends.entity.repo.BuiltInType.createBuiltInTypes();<no-session-id>;1271985419755454468;1578228634454611800;1578228634455127500;DESKTOP-4RF3KHM;43;3
$1;1578228634455133100;public depends.extractor.java.JavaBuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634454549600;1578228634455132100;DESKTOP-4RF3KHM;42;2
$1;1578228634455468300;public depends.entity.repo.BuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634455464000;1578228634455466200;DESKTOP-4RF3KHM;48;3
$1;1578228634455555900;public depends.entity.repo.NullBuiltInType.<init>();<no-session-id>;1271985419755454468;1578228634455546500;1578228634455553900;DESKTOP-4RF3KHM;49;3
$1;1578228634455575900;public depends.relations.Inferer.<init>(depends.entity.repo.EntityRepo, depends.relations.ImportLookupStrategy, depends.entity.repo.BuiltInType, boolean);<no-session-id>;1271985419755454468;1578228634455244000;1578228634455574400;DESKTOP-4RF3KHM;47;2
$1;1578228634481557500;public static void depends.util.TemporaryFile.reset();<no-session-id>;1271985419755454468;1578228634481544100;1578228634481553800;DESKTOP-4RF3KHM;50;2
$1;1578228634481683700;public void depends.extractor.java.JavaParserTest.init();<no-session-id>;1271985419755454468;1578228633747919300;1578228634481681100;DESKTOP-4RF3KHM;1;1
$1;1578228634482968300;public void depends.extractor.java.JavaParameterParserTest.setUp();<no-session-id>;1271985419755454468;1578228633747680800;1578228634482960900;DESKTOP-4RF3KHM;0;0
$1;1578228634511790800;public depends.extractor.java.JavaFileParser.<init>(java.lang.String, depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;1271985419755454469;1578228634511771900;1578228634511787100;DESKTOP-4RF3KHM;2;2
$1;1578228634511988000;public depends.extractor.java.JavaFileParser depends.extractor.java.JavaParserTest.createParser(java.lang.String);<no-session-id>;1271985419755454469;1578228634483946500;1578228634511983700;DESKTOP-4RF3KHM;1;1
$1;1578228634942266900;public depends.extractor.HandlerContext.<init>(depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;1271985419755454469;1578228634942235900;1578228634942262800;DESKTOP-4RF3KHM;5;3
$1;1578228634942536800;public depends.extractor.java.JavaHandlerContext.<init>(depends.entity.repo.EntityRepo, depends.relations.Inferer);<no-session-id>;1271985419755454469;1578228634942523200;1578228634942533400;DESKTOP-4RF3KHM;6;3
$1;1578228634957481400;public depends.extractor.java.context.AnnotationProcessor.<init>();<no-session-id>;1271985419755454469;1578228634957466500;1578228634957477100;DESKTOP-4RF3KHM;7;3
$1;1578228634969116100;public depends.extractor.java.context.ExpressionUsage.<init>(depends.extractor.HandlerContext, depends.entity.repo.IdGenerator);<no-session-id>;1271985419755454469;1578228634969097100;1578228634969111400;DESKTOP-4RF3KHM;8;3
$1;1578228634970141200;public java.lang.Integer depends.entity.repo.SimpleIdGenerator.generateId();<no-session-id>;1271985419755454469;1578228634970119900;1578228634970135900;DESKTOP-4RF3KHM;10;4
$1;1578228634970185400;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228634970182100;1578228634970183600;DESKTOP-4RF3KHM;12;5
$1;1578228634970192900;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228634970174400;1578228634970191100;DESKTOP-4RF3KHM;11;4
$1;1578228634970225700;public depends.entity.GenericName.<init>(java.lang.String);<no-session-id>;1271985419755454469;1578228634970223200;1578228634970223900;DESKTOP-4RF3KHM;15;6
$1;1578228634970233000;public static depends.entity.GenericName depends.entity.GenericName.build(java.lang.String);<no-session-id>;1271985419755454469;1578228634970219800;1578228634970230700;DESKTOP-4RF3KHM;14;5
$1;1578228634970294200;public depends.entity.GenericName depends.entity.GenericName.replace(java.lang.String, java.lang.String);<no-session-id>;1271985419755454469;1578228634970245700;1578228634970291300;DESKTOP-4RF3KHM;17;6
$1;1578228634970310900;public boolean depends.entity.GenericName.startsWith(java.lang.String);<no-session-id>;1271985419755454469;1578228634970305400;1578228634970308100;DESKTOP-4RF3KHM;18;6
$1;1578228634970347000;public java.lang.String depends.entity.GenericName.uniqName();<no-session-id>;1271985419755454469;1578228634970342100;1578228634970345700;DESKTOP-4RF3KHM;19;6
